Text,3D CAD Model,flag,username,timestamp
A rectangular prism with a hole in the middle.,/mnt/d/桌面/Text2CAD-main/App/flagged/3D CAD Model/d668f32b8aa3bb02afd241a540171d4265deab65/output.stl,,,2025-05-15 16:44:02.413769
A 3D star shape with 5 points.,/mnt/d/桌面/Text2CAD-main/App/flagged/3D CAD Model/15d8b6c20ee5e27326148dda338870f15055c0c3/output.stl,,,2025-05-17 13:25:54.067790
